country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_market,abs_reason_travelled,abs_reason_school,abs_reason_other,abs_reason_farm,abs_reason_in_playground,nc_reason_too_many_rnd,nc_reason_no_felt_need,nc_reason_no_care_giver_consent,nc_reason_child_sick,nc_reason_religious_cultural,nc_reason_others,nc_reason_vaccines_safety,nc_reason_covid_19,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
CIV,GUEMON,DUEKOUE,CIV-2025-02-01_nOPV_NIDs,nOPV2,Rnd2,21,2025-05-30T00:00:00Z,2025-06-03,2025-06-04,25,35,60,23,35,58,2,Pass,high,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.03
CIV,GUEMON,KOUIBLY,CIV-2023-09-01_nOPV,nOPV2,Rnd1,21,2023-09-23T00:00:00Z,2023-09-27,2023-09-28,32,28,60,32,24,56,4,Fail,moderate,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.07
CIV,GUEMON,KOUIBLY,CIV-2023-09-01_nOPV,nOPV2,Rnd2,21,2023-01-07T00:00:00Z,2023-01-11,2023-03-11,31,29,60,31,26,57,3,Pass,high,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,33.33,66.67,0,0,0,0,0.05
CIV,GUEMON,KOUIBLY,CIV-2024-04-01_nOPV,nOPV2,Rnd1,21,2024-05-10T00:00:00Z,2024-05-14,2024-05-15,28,32,60,26,29,55,5,Fail,moderate,0,1,3,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,20,60,20,0,0,0,0.08
CIV,GUEMON,KOUIBLY,CIV-2024-04-01_nOPV,nOPV2,Rnd2,21,2024-09-06T00:00:00Z,2024-09-10,2024-09-11,27,33,60,27,30,57,3,Pass,high,0,0,3,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.05
CIV,GUEMON,KOUIBLY,CIV-2025-02-01_nOPV_NIDs,nOPV2,Rnd1,21,2025-02-28T00:00:00Z,2025-03-04,2025-03-05,25,35,60,23,32,55,5,Fail,moderate,0,0,4,1,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0.08
CIV,GUEMON,KOUIBLY,CIV-2025-02-01_nOPV_NIDs,nOPV2,Rnd2,21,2025-05-30T00:00:00Z,2025-06-03,2025-06-04,36,24,60,32,21,53,7,Fail,moderate,0,0,7,0,0,0,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.12
CIV,GUEMON,KOUIBLY,YOPOUGON EST,mOPV,Rnd1,18,2020-09-20T00:00:00Z,2020-09-24,2020-09-25,33,27,60,29,27,56,4,Fail,moderate,0,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,25,50,25,0,0,0,0.07
CIV,GUEMON,KOUIBLY,YOPOUGON EST,mOPV,Rnd2,21,2020-10-11T00:00:00Z,2020-10-15,2020-10-16,32,28,60,29,27,56,4,Fail,moderate,0,0,4,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.07
CIV,HAMBOL,DABAKALA,CIV-2023-09-01_nOPV,nOPV2,Rnd1,11,2023-09-23T00:00:00Z,2023-09-27,2023-09-29,28,32,60,24,28,52,8,Fail,moderate,0,1,2,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,25,0,0,62.5,0,0.13
